,0,1
Topics,Words,Percent
Home,1, 0.11933174224343676
Ingest,25, 2.983293556085919
Ipron,76, 9.069212410501192
Achieve,9, 1.0739856801909307
Assent,2, 0.23866348448687352
CogProc,82, 9.785202863961814
Male,0, 0.0
Bio,30, 3.579952267303103
Ppron,56, 6.682577565632458
Health,1, 0.11933174224343676
Sad,0, 0.0
Cause,11, 1.3126491646778042
Money,3, 0.35799522673031026
Affiliation,9, 1.0739856801909307
Feel,6, 0.7159904534606205
Number,8, 0.9546539379474941
Motion,14, 1.6706443914081146
Time,31, 3.699284009546539
Sexual,0, 0.0
Negemo,1, 0.11933174224343676
FocusFuture,12, 1.431980906921241
Filler,0, 0.0
I,24, 2.863961813842482
Relig,0, 0.0
Friend,0, 0.0
Auxverb,69, 8.233890214797137
Tentat,14, 1.6706443914081146
Adj,40, 4.77326968973747
Netspeak,5, 0.5966587112171837
Prep,91, 10.859188544152746
Drives,56, 6.682577565632458
We,8, 0.9546539379474941
Function,447, 53.341288782816235
SheHe,1, 0.11933174224343676
Posemo,36, 4.295942720763723
Family,2, 0.23866348448687352
Nonflu,7, 0.8353221957040573
Insight,16, 1.9093078758949882
Death,0, 0.0
Relativ,105, 12.529832935560858
Pronoun,132, 15.75178997613365
Compare,26, 3.1026252983293556
Female,4, 0.47732696897374705
Social,45, 5.369928400954653
Power,21, 2.5059665871121717
You,16, 1.9093078758949882
Work,3, 0.35799522673031026
Anger,0, 0.0
Reward,18, 2.1479713603818613
Swear,1, 0.11933174224343676
Affect,37, 4.41527446300716
Hear,0, 0.0
Informal,15, 1.7899761336515514
Verb,140, 16.706443914081145
Article,34, 4.05727923627685
Adverb,93, 11.097852028639618
Differ,25, 2.983293556085919
Interrog,8, 0.9546539379474941
Quant,16, 1.9093078758949882
Space,63, 7.517899761336516
Percept,25, 2.983293556085919
Negate,11, 1.3126491646778042
They,7, 0.8353221957040573
See,10, 1.1933174224343674
Discrep,7, 0.8353221957040573
Leisure,10, 1.1933174224343674
Risk,1, 0.11933174224343676
Body,4, 0.47732696897374705
Conj,79, 9.427207637231504
Certain,12, 1.431980906921241
FocusPresent,107, 12.76849642004773
FocusPast,19, 2.267303102625298
Anx,1, 0.11933174224343676
